status,product_area,response,justification,request_type
escalated,account_access,Thank you for reaching out. Your request involves a sensitive issue that requires review by our support team. A human agent will follow up shortly.,Pre-escalated due to high-urgency signals detected: lost access. Human review required before any action.,product_issue
escalated,assessments,"I understand you're disputing your HackerRank test score and believe you were unfairly graded. However, based on the information available, I don't have specific details about HackerRank's score dispute process in our documentation. Additionally, since the test was administered by a company for their hiring process, they may have their own evaluation criteria beyond just the technical score. For assistance with this matter, you'll need to speak with our specialized team who can review your specific case and provide guidance on the appropriate dispute resolution process.","The corpus excerpts explain how scoring works for approximate solution questions and mention that candidates need to contact the company that administered the test for data-related issues, but they don't provide information about disputing test scores or having HackerRank intervene in company hiring decisions. The retrieval confidence is marked as AMBIGUOUS, indicating insufficient coverage for this specific request.",product_issue
escalated,dispute_resolution,Thank you for reaching out. Your request involves a sensitive issue that requires review by our support team. A human agent will follow up shortly.,Pre-escalated due to high-urgency signals detected: refund. Human review required before any action.,product_issue
escalated,assessments,Thank you for reaching out. Your request involves a sensitive issue that requires review by our support team. A human agent will follow up shortly.,"Pre-escalated due to high-urgency signals detected: refund, not working. Human review required before any action.",bug
escalated,billing,"I understand you're experiencing an issue with your payment for order ID cs_live_abcdefgh and would like assistance with a refund. Since this involves a specific billing dispute that requires investigation into your order details, I need to escalate this to our billing team who can access your payment information and process your request appropriately.","This is a billing dispute that requires investigation into a specific order ID. The corpus excerpts mention contacting support for refund issues but don't provide specific procedures for resolving payment disputes with particular order IDs. According to escalation rules, billing disputes should be escalated when the available information is insufficient to resolve the issue directly.",product_issue
escalated,assessments,We were unable to find relevant documentation to address your request. A human support agent will review your ticket and respond shortly.,Retrieval evaluator returned INSUFFICIENT — corpus excerpts do not cover this ticket. Escalating to prevent unsupported or hallucinated response.,product_issue
escalated,assessments,We were unable to find relevant documentation to address your request. A human support agent will review your ticket and respond shortly.,Retrieval evaluator returned INSUFFICIENT — corpus excerpts do not cover this ticket. Escalating to prevent unsupported or hallucinated response.,bug
replied,coding_environment,"I'm sorry to hear you're experiencing issues with submissions across all challenges. Here are some troubleshooting steps you can try:

1. Try accessing the test in a new browser window to overcome potential browser cache issues [Source: how to try a question or a test]

2. Check your browser cookie settings and ensure third-party cookies are enabled for HackerRank. You may need to add an exception for hackerrank.com [Source: Cookie settings for HTML/CSS/JavaScript and Projects Questions]

3. Use the 'Run Code' button in the built-in editor to test your program and view output before submitting [Source: Coding Challenges FAQs]

4. Remember that you can only submit a challenge after all test cases pass. If test cases fail, edit your code and try again [Source: weekly challenges]

If these steps don't resolve your issue, please provide more details about the specific error messages you're encountering.","The user is experiencing submission issues across all challenges, which suggests a systemic problem rather than code-specific issues. The most relevant excerpts point to browser cache and cookie settings as potential causes that could affect all submissions. I've prioritized these solutions while also including general submission best practices.",bug
escalated,integrations,"I understand you're experiencing a Zoom connectivity issue during a compatibility check that's preventing you from taking your HackerRank test. While our documentation covers the Zoom integration with HackerRank Interviews [Source: Zoom - HackerRank Interview Integration], it doesn't provide specific troubleshooting steps for the compatibility check error you're encountering. Since you've already tried changing settings and system configurations without success, this issue requires specialized support that goes beyond the available documentation in our knowledge base.","The corpus contains information about the Zoom integration with HackerRank Interviews, but doesn't provide specific troubleshooting steps for compatibility check issues related to Zoom connectivity. The user has already attempted basic troubleshooting steps without success, indicating this requires escalation to a team with deeper technical knowledge of the integration's compatibility requirements.",product_issue
escalated,assessments,"Thank you for reaching out about rescheduling your HackerRank assessment. Unfortunately, the available documentation doesn't provide specific guidance on rescheduling assessments before they are taken. The closest information available is about reinviting candidates to retake tests after issues like power outages or internet problems [Source: Reinvite Candidates to a Test]. For assistance with rescheduling your assessment, please contact HackerRank support directly through their official channels.","The ticket requests rescheduling of a HackerRank assessment due to unforeseen circumstances. While the corpus contains information about rescheduling interviews and reinviting candidates to retake tests, there is no specific guidance on rescheduling assessments before they are taken. Given the ambiguous retrieval confidence mentioned in the ticket and the lack of specific procedures for this request, escalation is necessary.",product_issue
